"Scenario","Message"
"work","EMERGENCY: Remain calm and follow safety protocols during emergency."
"work","WARNING: Unidentified person seen in the stairwell. Report suspicious activity."
"work","CRITICAL: Shortness of breath reported in the copy room. Medical team required."
"work","URGENT: Flash flood warning for the office park. Stay inside."
"work","ALERT: Power outage in the lobby. Emergency lights are on."
"work","EMERGENCY: Fire drill in progress. Proceed to the nearest exit."
"work","WARNING: Remain in the building until the emergency is resolved."
"work","CRITICAL: Remain away from windows and doors during lockdown."
"work","URGENT: Choking incident in the cafeteria. Medical team needed."
"work","ALERT: Fire reported in the break area. Evacuate."
"work","EMERGENCY: Gas leak detected in the restroom. Leave that area immediately."
"work","WARNING: Hazardous vapor detected in the mailroom. Evacuate."
"work","CRITICAL: Elevator stuck with passengers. Maintenance notified."
"work","URGENT: Use shaded walkways and drink water due to heat advisory."
"work","ALERT: Employee slipped on wet floor in the hallway. Medical help needed."
"work","EMERGENCY: Fire alarm triggered by smoke in the electrical closet."
"work","WARNING: Unidentified person seen in the parking lot. Report to security."
"work","CRITICAL: Severe windstorm expected. Secure all paperwork and electronics."
"work","URGENT: Smoke detected in the basement. Firefighters responding."
"work","ALERT: Employee allergic reaction in the lunchroom. Medical team needed."
"work","EMERGENCY: Remain in your current location until notified."
"work","WARNING: Use flashlights and avoid using elevators during power outage."
"work","CRITICAL: Chemical smell in the print room. Evacuate immediately."
"work","URGENT: Employee fainted in the stairwell. Assistance required."
"work","ALERT: Suspicious package found in the conference room. Avoid the area."
"work","EMERGENCY: Stay inside your office during thunderstorm warning."
"work","WARNING: Injury in the parking lot. Medical team dispatched."
"work","CRITICAL: Do not leave your workstation during security sweep."
"work","URGENT: Water main break. Evacuate affected areas."
"work","ALERT: Employee cut finger in the kitchen. First aid needed."
"work","EMERGENCY: Attempted break-in at the front entrance. Security notified."
"work","WARNING: Fire reported in the records room. Evacuate."
"work","CRITICAL: Backup power activated due to outage."
"work","URGENT: Office closing at noon due to snowstorm warning."
"work","ALERT: Injury reported in the IT office. Medical help needed."
"work","EMERGENCY: Remain indoors until the all-clear is given."
"work","WARNING: Smoke detected in the stairwell. Evacuate."
"work","CRITICAL: Fire alarm test scheduled for next Friday."
"work","URGENT: Head injury reported in the mailroom. Medical team required."
"work","ALERT: Remain calm and follow emergency instructions."
"work","URGENT: Smoke detected in the main stairwell. Evacuate using the nearest safe exit."
"work","ALERT: Suspicious activity reported in the parking garage. Remain inside and lock doors."
"work","EMERGENCY: Medical emergency in the HR department. Trained personnel respond immediately."
"work","WARNING: Severe hailstorm incoming. Move away from windows and glass doors."
"work","CRITICAL: Fire alarm triggered on the second floor. Evacuate calmly and quickly."
"work","URGENT: Gas leak reported near the maintenance area. Avoid the lower levels."
"work","ALERT: Unauthorized drone sighted above the office complex. Remain indoors."
"work","EMERGENCY: Elevator stuck between floors with occupants inside. Emergency crew dispatched."
"work","WARNING: Water leak detected in the electrical room. Avoid the basement."
"work","CRITICAL: Armed intruder reported at the main entrance. Shelter in place and await police."
"work","URGENT: Hazardous material spill in the print shop. Leave the area immediately."
"work","ALERT: Tornado warning issued for the business district. Move to designated shelter areas."
"work","EMERGENCY: Employee experiencing severe allergic reaction in the kitchen. Medical team needed."
"work","WARNING: Flash flooding reported near the loading dock. Do not attempt to exit the building."
"work","CRITICAL: Security lockdown in effect. Await further instructions from authorities."
"work","URGENT: Power surge detected. Disconnect sensitive equipment now."
"work","ALERT: Severe heatwave advisory. Limit outdoor work and stay hydrated."
"work","EMERGENCY: Explosion reported in the storage facility. Evacuate the premises."
"work","WARNING: Suspicious envelope discovered in the mailroom. Do not touch and alert security."
"work","CRITICAL: Missing person alert. Last seen near the break room."
"work","URGENT: Fire in the server room. Evacuate the IT department immediately."
"work","ALERT: Elevator alarm triggered. Avoid elevator use until cleared by maintenance."
"work","EMERGENCY: Employee struck by falling object in the warehouse. First aid needed."
"work","WARNING: Severe thunderstorm approaching. Secure all outdoor equipment."
"work","CRITICAL: Bomb threat received. Follow evacuation protocol without delay."
"work","URGENT: Medical emergency in the finance office. Call 911 and provide assistance."
"work","ALERT: Hazardous fumes detected in the copy center. Leave that section at once."
"work","EMERGENCY: Multiple injuries reported in the parking lot. Emergency services en route."
"work","WARNING: Severe snowstorm forecast. Office will close early."
"work","CRITICAL: Security breach in the data center. IT staff to remain at their workstations."
"work","URGENT: Lockdown drill in progress. Follow instructions from emergency coordinators."
"work","ALERT: Suspicious package left in the reception area. Evacuate front offices."
"work","EMERGENCY: Fire detected in the restroom. Use alternate exits."
"work","WARNING: Gas odor reported in the building. Do not use open flames."
"work","CRITICAL: Elevator malfunction. Maintenance is responding; do not use elevators."
"work","URGENT: Employee experiencing heat exhaustion in the loading dock. Move to a cool area."
"work","ALERT: Severe windstorm warning. Stay away from exterior doors."
"work","EMERGENCY: Water main break in the basement. Avoid lower floors."
"work","WARNING: Unauthorized person attempting access at the back gate. Security notified."
"work","CRITICAL: Fire alarm test in progress. No action needed unless instructed."
"work","URGENT: Medical emergency in the lobby. First responders are on their way."
"work","ALERT: Tornado drill scheduled for 11 AM. Review shelter locations."
"work","EMERGENCY: Employee trapped in the elevator. Emergency team on site."
"work","WARNING: Flash flood alert. Move to higher floors if possible."
"work","CRITICAL: Suspicious vehicle parked near the loading dock. Do not approach."
"work","URGENT: Fire in the kitchen area. Use nearest safe exit."
"work","ALERT: Power outage in the east wing. Remain calm and await updates."
"work","EMERGENCY: Multiple fire alarms triggered. Evacuate the building immediately."
"work","WARNING: Hazardous chemical detected in the janitor's closet. Leave the area."
"work","CRITICAL: Security sweep in progress. Remain at your workstations."
"work","URGENT: Employee fainted in the stairwell. Medical help required."
"work","ALERT: Severe weather drill in progress. Remain indoors."
"work","EMERGENCY: Firefighters responding to blaze in the archives room."
"work","WARNING: Gas alarm triggered in the break area. Do not use electrical switches."
"work","CRITICAL: Elevator rescue in progress. Avoid elevator use."
"work","URGENT: Medical emergency in the marketing department. Call for assistance."
"work","ALERT: Security alert: Attempted break-in at the side entrance."
"work","EMERGENCY: Flooding in the basement. Move valuables to higher floors."
"work","WARNING: Severe thunderstorm warning. Stay inside until further notice."
"work","CRITICAL: Power failure in the main office. Emergency lights activated."
"work","URGENT: Fire alarm test scheduled for tomorrow at noon."
"work","ALERT: Employee experiencing chest pain in the HR office. Medical team needed."
"work","EMERGENCY: Hazardous spill in the copy room. Evacuate affected area."
"work","WARNING: Suspicious activity reported in the parking structure. Remain inside."
"work","CRITICAL: Lockdown in effect. Await further instructions."
"work","URGENT: Employee injured by falling object in the warehouse. First aid required."
"work","ALERT: Gas leak detected in the lunchroom. Leave immediately."
"work","EMERGENCY: Fire reported in the stairwell. Use alternate exits."
"work","WARNING: Unauthorized person seen near the IT department. Security notified."
"work","CRITICAL: Elevator stuck on the third floor. Maintenance notified."
"work","URGENT: Medical emergency in the boardroom. Call 911 for help."
"work","ALERT: Severe weather alert. Tornado watch in effect."
"work","EMERGENCY: Employee experiencing allergic reaction in the kitchen. Medical team en route."
"work","WARNING: Hazardous fumes detected in the storage area. Evacuate now."
"work","CRITICAL: Security sweep ongoing. Remain at your desks."
"work","URGENT: Fire alarm triggered in the finance office. Evacuate calmly."
"work","ALERT: Power restored. Resume normal operations."
"work","EMERGENCY: Employee trapped in the restroom. Maintenance responding."
"work","WARNING: Severe windstorm warning. Secure all loose items."
"work","CRITICAL: Bomb threat received. Follow evacuation protocol."
"work","URGENT: Medical emergency in the reception area. First aid needed."
"work","ALERT: Suspicious package found in the conference room. Avoid the area."
"work","EMERGENCY: Firefighters responding to blaze in the mailroom."
"work","WARNING: Gas odor reported in the break room. Leave immediately."
"work","CRITICAL: Elevator malfunction. Do not use until cleared."
"work","URGENT: Employee experiencing shortness of breath in the lunch area. Medical help needed."
"work","ALERT: Severe thunderstorm approaching. Remain indoors."
"work","EMERGENCY: Hazardous chemical spill in the maintenance area. Evacuate."
"work","WARNING: Unauthorized person detected in the parking lot. Security alerted."
"work","CRITICAL: Lockdown drill in progress. Follow all instructions."
"work","URGENT: Fire alarm test scheduled for next week."
"work","ALERT: Employee fainted in the HR office. Medical team needed."
"work","EMERGENCY: Flooding reported in the basement. Avoid lower levels."
"work","WARNING: Suspicious vehicle parked near the main entrance. Do not approach."
"work","CRITICAL: Power failure. Use backup lighting."
"work","URGENT: Medical emergency in the IT department. Call for help."
"work","ALERT: Gas leak detected in the storage room. Leave the area."
"work","EMERGENCY: Fire reported in the kitchen. Evacuate immediately."
"work","WARNING: Hazardous vapor detected in the janitor's closet. Evacuate."
"work","CRITICAL: Security alert: Attempted unauthorized access at the loading dock."
"work","URGENT: Employee experiencing heat exhaustion in the warehouse. Move to a cool area."
"work","ALERT: Tornado warning issued for the office park. Seek shelter now."
"work","EMERGENCY: Elevator stuck between floors. Emergency crew dispatched."
"work","WARNING: Severe snowstorm forecast. Office will close early."
"work","CRITICAL: Security breach in the finance department. Remain at your workstations."
"work","URGENT: Fire in the IT server room. Evacuate that area immediately."
"work","ALERT: Employee injured in the parking lot. Medical team needed."
"work","EMERGENCY: Multiple injuries reported in the lobby. Emergency services en route."
"work","WARNING: Flash flood alert. Move to higher floors."
"work","CRITICAL: Bomb threat received. Evacuate the building now."
"work","URGENT: Medical emergency in the copy center. First aid responders needed."
"work","ALERT: Hazardous fumes detected in the kitchen. Evacuate immediately."
"work","EMERGENCY: Employee trapped in the elevator. Maintenance notified."
"work","WARNING: Suspicious package found in the loading dock. Avoid the area."
"work","CRITICAL: Lockdown in effect. Remain at your desks."
"work","URGENT: Fire alarm triggered in the marketing department. Evacuate calmly."
"work","ALERT: Power outage in the west wing. Use flashlights."
"work","EMERGENCY: Employee experiencing chest pain in the boardroom. Medical help needed."
"work","WARNING: Gas leak detected in the HR office. Leave immediately."
"work","CRITICAL: Security sweep ongoing. Await further instructions."
"work","URGENT: Employee injured by falling object in the storage area. First aid required."
"work","ALERT: Fire reported in the restrooms. Use alternate exits."
"work","EMERGENCY: Hazardous chemical detected in the break room. Evacuate."
"work","WARNING: Unauthorized person seen near the finance office. Security notified."
"work","CRITICAL: Elevator stuck on the second floor. Maintenance responding."
"work","URGENT: Medical emergency in the reception area. Call 911 for help."
"work","ALERT: Severe weather alert. Tornado watch in effect."
"work","EMERGENCY: Employee experiencing allergic reaction in the kitchen. Medical team en route."
"work","WARNING: Hazardous fumes detected in the storage area. Evacuate now."
"work","CRITICAL: Security sweep ongoing. Remain at your desks."
"work","URGENT: Fire alarm triggered in the finance office. Evacuate calmly."
"work","ALERT: Power restored. Resume normal operations."
"work","EMERGENCY: Employee trapped in the restroom. Maintenance responding."
"work","WARNING: Severe windstorm warning. Secure all loose items."
"work","CRITICAL: Bomb threat received. Follow evacuation protocol."
"work","URGENT: Medical emergency in the reception area. First aid needed."
"work","ALERT: Suspicious package found in the conference room. Avoid the area."
"work","EMERGENCY: Firefighters responding to blaze in the mailroom."
"work","WARNING: Gas odor reported in the break room. Leave immediately."
"work","CRITICAL: Elevator malfunction. Do not use until cleared."
"work","URGENT: Employee experiencing shortness of breath in the lunch area. Medical help needed."
"work","ALERT: Severe thunderstorm approaching. Remain indoors."
"work","EMERGENCY: Hazardous chemical spill in the maintenance area. Evacuate."
"work","WARNING: Unauthorized person detected in the parking lot. Security alerted."
"work","CRITICAL: Lockdown drill in progress. Follow all instructions."
"work","URGENT: Fire alarm test scheduled for next week."
"work","ALERT: Employee fainted in the HR office. Medical team needed."
"work","EMERGENCY: Flooding reported in the basement. Avoid lower levels."
"work","WARNING: Suspicious vehicle parked near the main entrance. Do not approach."
"work","CRITICAL: Power failure. Use backup lighting."
"work","URGENT: Medical emergency in the IT department. Call for help."
"work","ALERT: Gas leak detected in the storage room. Leave the area."
"work","EMERGENCY: Fire reported in the kitchen. Evacuate immediately."
"work","WARNING: Hazardous vapor detected in the janitor's closet. Evacuate."
"work","CRITICAL: Security alert: Attempted unauthorized access at the loading dock."
"work","URGENT: Employee experiencing heat exhaustion in the warehouse. Move to a cool area."
"work","ALERT: Tornado warning issued for the office park. Seek shelter now."
"work","EMERGENCY: Elevator stuck between floors. Emergency crew dispatched."
"work","WARNING: Severe snowstorm forecast. Office will close early."
"work","CRITICAL: Security breach in the finance department. Remain at your workstations."
"work","URGENT: Fire in the IT server room. Evacuate that area immediately."
"work","ALERT: Employee injured in the parking lot. Medical team needed."
"work","EMERGENCY: Multiple injuries reported in the lobby. Emergency services en route."
"work","WARNING: Flash flood alert. Move to higher floors."
"work","CRITICAL: Bomb threat received. Evacuate the building now."
"work","URGENT: Medical emergency in the copy center. First aid responders needed."
"work","ALERT: Hazardous fumes detected in the kitchen. Evacuate immediately."
"work","EMERGENCY: Employee trapped in the elevator. Maintenance notified."
"work","WARNING: Suspicious package found in the loading dock. Avoid the area."
"work","CRITICAL: Lockdown in effect. Remain at your desks."
"work","URGENT: Fire alarm triggered in the marketing department. Evacuate calmly."
"work","ALERT: Power outage in the west wing. Use flashlights."
"work","EMERGENCY: Employee experiencing chest pain in the boardroom. Medical help needed."
"work","WARNING: Gas leak detected in the HR office. Leave immediately."
"work","CRITICAL: Security sweep ongoing. Await further instructions."
"work","URGENT: Employee injured by falling object in the storage area. First aid required."
"work","ALERT: Fire reported in the restrooms. Use alternate exits."
"work","EMERGENCY: Hazardous chemical detected in the break room. Evacuate."
"work","WARNING: Unauthorized person seen near the finance office. Security notified."
"work","CRITICAL: Elevator stuck on the second floor. Maintenance responding."
"work","URGENT: Medical emergency in the reception area. Call 911 for help."
"work","ALERT: Severe weather alert. Tornado watch in effect."
"work","EMERGENCY: Employee experiencing allergic reaction in the kitchen. Medical team en route."
"work","WARNING: Hazardous fumes detected in the storage area. Evacuate now."
"work","CRITICAL: Security sweep ongoing. Remain at your desks."
"work","URGENT: Fire alarm triggered in the finance office. Evacuate calmly."
"work","ALERT: Power restored. Resume normal operations."
"work","EMERGENCY: Employee trapped in the restroom. Maintenance responding."
"work","WARNING: Severe windstorm warning. Secure all loose items."
"work","CRITICAL: Bomb threat received. Follow evacuation protocol."
"work","URGENT: Fire detected in the archive room. Leave the building immediately."
"work","ALERT: Severe lightning storm in the area. Disconnect sensitive equipment."
"work","EMERGENCY: Employee having a seizure in the main hallway. Medical team needed now."
"work","WARNING: Suspicious noise reported in the underground parking. Remain at your workstation."
"work","CRITICAL: Hazardous gas detected in the air vents. Evacuate all floors."
"work","URGENT: Elevator alarm sounded on the sixth floor. Do not attempt to use elevators."
"work","ALERT: Suspicious person seen loitering near the emergency exit. Security has been notified."
"work","EMERGENCY: Water leak in the electrical closet. Avoid the east corridor."
"work","WARNING: Tornado sirens activated. Move to interior rooms away from windows."
"work","CRITICAL: Employee reported missing after last headcount. Notify security if seen."
"work","URGENT: Fire alarm pulled in the reception area. Proceed to evacuation points."
"work","ALERT: Security breach in the document storage. Do not enter restricted areas."
"work","EMERGENCY: Multiple injuries after equipment malfunction in the warehouse. First aid required."
"work","WARNING: Severe hailstorm expected. Park vehicles in covered areas if possible."
"work","CRITICAL: Bomb threat in the main lobby. Follow evacuation procedures calmly."
"work","URGENT: Medical emergency in the executive suite. Call emergency services immediately."
"work","ALERT: Gas odor detected in the stairwell. Avoid using matches or lighters."
"work","EMERGENCY: Employee trapped in the supply closet. Maintenance team responding."
"work","WARNING: Flash flooding in the parking lot. Move vehicles to higher ground."
"work","CRITICAL: Unauthorized drone activity above the facility. Remain indoors."
"work","URGENT: Fire reported in the copy center. Use the nearest safe exit."
"work","ALERT: Security lockdown due to nearby police activity. Stay in your office."
"work","EMERGENCY: Employee fell from ladder in the storage room. Medical help needed urgently."
"work","WARNING: Severe cold weather alert. Use caution on outdoor walkways."
"work","CRITICAL: Suspicious letter found in the mailroom. Do not handle."
"work","URGENT: Power fluctuation detected. Save your work and prepare for outage."
"work","ALERT: Medical emergency in the restroom. First aid kit required."
"work","EMERGENCY: Smoke seen coming from the server rack. IT staff evacuate immediately."
"work","WARNING: Unattended bag found in the cafeteria. Security will investigate."
"work","CRITICAL: Fire suppression system activated in lab. Evacuate lab area now."
"work","URGENT: Employee choking in the break room. Immediate assistance required."
"work","ALERT: Tornado spotted nearby. Move to designated shelter area."
"work","EMERGENCY: Employee sustained electrical shock in maintenance. Call 911."
"work","WARNING: Hazardous spill in the loading dock. Avoid the area."
"work","CRITICAL: Security alert: Attempted forced entry at the rear gate."
"work","URGENT: Fire alarm sounded on the roof. Evacuate upper floors."
"work","ALERT: Severe wind gusts expected. Secure all loose outdoor items."
"work","EMERGENCY: Employee with severe bleeding in the print shop. Medical help needed."
"work","WARNING: Gas leak outside the building. Do not leave until cleared."
"work","CRITICAL: Lockdown in effect due to suspicious activity in the neighborhood."
"work","URGENT: Fire reported near the emergency stairwell. Use alternate exits."
"work","ALERT: Employee fainted in the elevator. Emergency crew on the way."
"work","EMERGENCY: Hazardous vapor detected in the restroom. Evacuate that section."
"work","WARNING: Power lines down near the parking area. Avoid the vicinity."
"work","CRITICAL: Medical emergency: Employee with chest pains in the conference hall."
"work","URGENT: Security sweep in progress. Do not leave your current location."
"work","ALERT: Bomb threat phoned in. Follow all evacuation instructions."
"work","EMERGENCY: Employee trapped under fallen shelf in storage. Call for help."
"work","WARNING: Severe thunderstorm expected at 3 PM. Prepare to shelter in place."
"work","CRITICAL: Unauthorized access attempt detected in the IT server room."
"work","URGENT: Fire alarm triggered in the design studio. Evacuate calmly."
"work","ALERT: Gas leak in the underground garage. Do not enter the area."
"work","EMERGENCY: Medical emergency in the shipping department. Ambulance en route."
"work","WARNING: Suspicious package found in the stairwell. Security notified."
"work","CRITICAL: Employee missing after evacuation. Report any sightings."
"work","URGENT: Fire reported in the HR office. Use nearest safe exit."
"work","ALERT: Power outage affecting all floors. Use emergency lighting."
"work","EMERGENCY: Employee with severe allergic reaction in the lunch area. Medical response needed."
"work","WARNING: Severe ice on walkways outside. Use caution when exiting."
"work","CRITICAL: Security breach in the finance records room. Remain in place."
"work","URGENT: Fire drill scheduled for today at 2 PM. Prepare to evacuate."
"work","ALERT: Medical emergency: Employee collapsed in the IT office."
"work","EMERGENCY: Hazardous spill in the kitchen. Evacuate the area."
"work","WARNING: Tornado watch in effect. Monitor weather updates."
"work","CRITICAL: Suspicious noise heard in the basement. Security investigating."
"work","URGENT: Fire alarm test will occur in 10 minutes. Do not be alarmed."
"work","ALERT: Employee with suspected heart attack in the boardroom. Call 911."
"work","EMERGENCY: Gas leak reported in the restroom. Leave the area immediately."
"work","WARNING: Unattended suitcase found in the lobby. Security will inspect."
"work","CRITICAL: Lockdown drill in progress. Remain calm and follow instructions."
"work","URGENT: Fire detected in the main conference center. Evacuate now."
"work","ALERT: Severe weather alert: Lightning strikes in the area."
"work","EMERGENCY: Employee sustained burn injury in the kitchen. Medical help needed."
"work","WARNING: Hazardous fumes in the mailroom. Avoid the area."
"work","CRITICAL: Unauthorized entry detected at the main gate. Security responding."
"work","URGENT: Fire alarm triggered in the marketing suite. Use alternate exits."
"work","ALERT: Employee with broken arm in the warehouse. First aid required."
"work","EMERGENCY: Flooding reported in the elevator shaft. Avoid elevators."
"work","WARNING: Severe snowstorm approaching. Prepare for early closure."
"work","CRITICAL: Suspicious person seen near the emergency exit. Stay alert."
"work","URGENT: Fire reported in the finance office. Evacuate that section."
"work","ALERT: Power outage in the cafeteria. Use caution."
"work","EMERGENCY: Employee with seizure in the break area. Medical team needed."
"work","WARNING: Gas leak detected in the kitchen. Leave the building at once."
"work","CRITICAL: Security sweep in progress. Await further notification."
"work","URGENT: Fire alarm sounded in the HR corridor. Evacuate calmly."
"work","ALERT: Employee fainted near the main entrance. Medical help on the way."
"work","EMERGENCY: Hazardous chemical detected in the server room. Evacuate IT area."
"work","WARNING: Tornado sirens sounding. Move to interior rooms."
"work","CRITICAL: Medical emergency: Employee with head injury in the storage area."
"work","URGENT: Security alert: Attempted break-in at the front desk."
"work","ALERT: Fire reported in the stairwell. Use nearest safe exit."
"work","EMERGENCY: Employee trapped in the copy room. Maintenance notified."
"work","WARNING: Severe thunderstorm expected this evening. Secure all equipment."
"work","CRITICAL: Unauthorized access attempt at the records vault. Security on scene."
"work","URGENT: Fire alarm triggered in the executive suite. Evacuate now."
"work","ALERT: Power failure in the east wing. Use flashlights and await updates."
"work","EMERGENCY: Employee with severe bleeding in the print shop. Call 911."
"work","WARNING: Hazardous material spill in the maintenance area. Evacuate immediately."
"work","CRITICAL: Lockdown in effect. Remain at your workstation until cleared."
"school","URGENT: Fire reported in the science lab. Evacuate the building immediately."
"school","ALERT: Gas leak detected in the cafeteria. Leave the area at once."
"school","EMERGENCY: Active shooter on campus. Lock doors and shelter in place."
"school","WARNING: Severe weather approaching. Remain indoors and stay away from windows."
"school","CRITICAL: Medical emergency in classroom 204. Assistance required now."
"school","URGENT: Bomb threat received. Evacuate the school calmly and quickly."
"school","ALERT: Chemical spill in the janitor’s closet. Evacuate the affected wing."
"school","EMERGENCY: Flooding in the basement. Move to higher floors immediately."
"school","WARNING: Power outage in the main building. Stay calm and await instructions."
"school","CRITICAL: Security breach at the main entrance. Lock all doors and remain inside."
"school","URGENT: Explosion heard near the gymnasium. Evacuate the area."
"school","ALERT: Unauthorized person detected on school grounds. Shelter in place."
"school","EMERGENCY: Earthquake detected. Take cover under desks."
"school","WARNING: Gas alarm triggered in the science wing. Leave the area now."
"school","CRITICAL: Fire alarm malfunction. Await further instructions and do not use elevators."
"school","URGENT: Medical team needed in the cafeteria. Student has collapsed."
"school","ALERT: Suspicious package found in the hallway. Avoid the area and notify authorities."
