Scenario,Urgency,Believability,Excuse
work,high,medium,My car’s brakes locked up and I had to wait for a mechanic to arrive.
work,high,medium,My spouse’s friend was hospitalized and I had to help coordinate care and support.
work,high,medium,My pet lizard escaped and I had to search the apartment for hours before finding it.
work,high,medium,"My neighbor’s apartment flooded from a broken washing machine, and I helped them move furniture."
work,high,medium,My child’s school nurse called about a suspected concussion and I had to pick them up for evaluation.
work,high,medium,My partner’s work had a COVID scare and I had to stay home to care for our kids while they quarantined.
work,high,medium,My car’s transmission failed on the way to work and I had to call for a tow and arrange repairs.
work,high,medium,My spouse’s sibling needed emergency childcare and I was the only one available.
work,high,medium,My child’s school had a gas leak and all students were sent home immediately.
work,high,medium,My neighbor’s pet parrot escaped and I helped search the neighborhood for it.
work,high,medium,My partner’s work called an emergency video call and I had to supervise our children while they attended.
work,high,medium,My car’s alternator failed and I had to wait for a tow truck and mechanic.
work,high,medium,My apartment’s ceiling collapsed due to a leak and I had to be present for repairs.
work,high,low,My dog ate my car keys and I had to wait for them to pass before I could leave.
work,high,low,I was caught in a city-wide zombie walk parade and couldn't get through the crowd.
work,high,low,The elevator stopped between floors and I was trapped for hours with no phone signal.
work,high,low,A magician on the subway made my wallet disappear and I had to wait for the trick to end.
work,high,low,I was abducted by a flash mob and forced to dance in the town square for charity.
work,high,low,My neighbor’s llama escaped and caused a traffic jam on my street.
work,high,low,I was locked in my own bathroom by a mischievous cat and couldn't get out until help arrived.
work,high,low,My parrot flew out the window and led me on a wild chase across the neighborhood.
work,high,low,I was mistaken for a celebrity by a tour group and had to pose for dozens of photos.
work,high,low,My shoes were stolen by squirrels and I had to search the park to get them back.
work,high,low,My neighbor’s goat chewed through my car’s brake line and I had to call for repairs.
work,high,low,I was accidentally locked inside a convenience store overnight and missed my alarm.
work,high,low,A street magician challenged me to a card trick contest and I couldn’t leave until I won.
work,high,low,My pet turtle escaped and led me on a slow chase through the apartment complex.
work,high,low,My neighbor’s rooster crowed so loudly I lost my hearing for the morning.
work,high,low,I was stuck in a tree after rescuing a stray kitten and had to wait for the fire department.
work,high,low,My bicycle was commandeered by a film crew for a movie scene and I had to wait to get it back.
work,high,low,My pet snake wrapped itself around my steering wheel and I couldn’t drive until animal control arrived.
work,high,low,I was chosen as a last-minute contestant for a live radio prank and couldn’t leave until it finished.
work,high,low,"My neighbor’s bees swarmed my car, making it impossible to approach for hours."
work,high,low,I was locked in a public restroom after the automatic doors malfunctioned.
work,high,low,My neighbor’s ferret hid my work ID badge and I had to search everywhere to find it.
work,high,low,I was recruited by a street band to play tambourine in a parade and couldn’t escape the crowd.
work,high,low,My shoes were glued to the floor by a prankster and I had to wait for help.
work,high,low,I was stopped by a group of street artists who wanted to paint my portrait for a mural.
work,high,low,My pet hamster chewed through my phone charger and I had to wait for it to recharge.
work,high,low,I was locked in my car by a malfunctioning security system and had to wait for a technician.
work,high,low,My neighbor’s peacock blocked my driveway and refused to move for hours.
work,high,low,I was delayed by a spontaneous pillow fight in the subway station.
work,high,low,My cat knocked over my alarm clock and I woke up in a time warp.
work,high,low,I was called to be an extra in a surprise flash mob commercial and couldn’t leave until filming ended.
work,high,low,My neighbor’s alpaca spit on my work clothes and I had to change.
work,high,low,I was challenged to a dance-off by a group of street performers and couldn’t leave until I won.
work,high,low,My pet piglet escaped and led me on a chase through the farmer’s market.
work,high,low,I was caught in a spontaneous water balloon fight on my way to the office.
work,high,low,My neighbor’s parrot mimicked my alarm and tricked me into waking up at the wrong time.
work,high,low,I was locked out of my building by a malfunctioning fingerprint scanner.
work,high,low,My shoes were stolen by a raccoon and I had to chase it through the park.
work,high,low,I was delayed by a street performance that blocked the only exit from my parking garage.
work,high,low,My neighbor’s goat ate my work notes and I had to rewrite them before leaving.
work,high,low,I was stopped by a local news crew for an impromptu interview about traffic.
work,high,low,My pet ferret hid my car keys in a heating vent and I had to call maintenance.
work,high,low,I was stuck in a revolving door after a prankster jammed it.
work,high,low,My neighbor’s ducklings blocked my path to the car and I had to herd them to safety.
work,high,low,I was recruited by a clown troupe for a charity event and couldn’t leave until my act was done.
work,medium,high,My dentist appointment ran over because they found a cavity that needed immediate filling.
work,medium,high,My child’s parent-teacher conference was rescheduled for this morning.
work,medium,high,My car battery died and it took a while to get a jump start from roadside assistance.
work,medium,high,My pet was sick and I had to take them to the vet for a checkup.
work,medium,high,There was a water main break on my street and I had to wait for repairs to finish.
work,medium,high,"My neighbor’s pipes burst and flooded their apartment, and I helped them move valuables before the restoration crew arrived."
work,medium,high,"My child’s after-school program was canceled due to a staff shortage, and I had to arrange alternate care before coming to work."
work,medium,high,My phone was stolen while commuting and I had to spend the morning at the police station filing a report and replacing it.
work,medium,high,My spouse fainted while making breakfast and I had to take them to urgent care for observation and tests.
work,medium,high,My sibling was locked out of their apartment and needed me to bring them a spare key before I could leave for work.
work,medium,high,"My neighbor’s apartment flooded from a broken washing machine, and I helped them move furniture."
work,medium,high,My child’s school nurse called about a suspected concussion and I had to pick them up for evaluation.
work,medium,high,My partner’s work had a COVID scare and I had to stay home to care for our kids while they quarantined.
work,medium,high,My car’s transmission failed on the way to work and I had to call for a tow and arrange repairs.
work,medium,high,My spouse’s sibling needed emergency childcare and I was the only one available.
work,medium,high,My child’s school had a gas leak and all students were sent home immediately.
work,medium,high,My neighbor’s pet parrot escaped and I helped search the neighborhood for it.
work,medium,high,My partner’s work called an emergency video call and I had to supervise our children while they attended.
work,medium,high,My car’s alternator failed and I had to wait for a tow truck and mechanic.
work,medium,high,My apartment’s ceiling collapsed due to a leak and I had to be present for repairs.
work,medium,high,"My spouse’s work called them in for an emergency shift, so I had to stay home with our children."
work,medium,high,My child’s school bus was delayed for hours due to a major accident on the route.
work,medium,high,My car’s brakes failed as I was leaving for work and I had to arrange for a tow and repairs.
work,medium,high,"My apartment’s heating system broke down during a cold snap, and I had to wait for the repair technician."
work,medium,high,My pet bird escaped its cage and I spent hours searching the house before finding it.
work,medium,high,My partner’s prescription medication ran out unexpectedly and I had to drive across town to get a refill.
work,medium,high,My child’s after-school club was canceled and I had to pick them up early.
work,medium,high,My partner’s sibling was in a minor accident and I had to help with hospital paperwork.
work,medium,high,My spouse’s work called an emergency meeting and I had to stay home to supervise our children.
work,medium,high,My car’s steering locked up and I had to wait for a tow and emergency repairs.
work,medium,high,My pet dog was sprayed by a skunk and I had to bathe it before I could leave.
work,medium,high,My neighbor’s elderly father wandered off and I joined the search party until he was found.
work,medium,high,My partner’s phone was stolen and I had to help them reset accounts and contact work.
work,medium,high,"My child’s aftercare program was canceled due to a burst pipe, and I had to make alternate arrangements."
work,medium,high,My car’s brakes locked up and I had to wait for a mechanic to arrive.
work,medium,high,My spouse’s friend was hospitalized and I had to help coordinate care and support.
work,medium,high,My pet lizard escaped and I had to search the apartment for hours before finding it.
work,medium,high,My building’s fire alarm malfunctioned and I had to wait for maintenance to reset it.
work,medium,high,My neighbor’s water heater burst and I helped them mop up the flooding.
work,medium,high,My partner’s sibling needed a ride to a doctor’s appointment and I was the only one available.
work,medium,high,My child’s school had a surprise early dismissal and I had to pick them up.
work,medium,high,My spouse’s friend needed help moving urgently and I was the only one available.
work,medium,high,My car’s oil light came on and I had to stop for emergency service.
work,medium,high,My neighbor’s child was locked out and I had to help them until their parent returned.
work,medium,high,My partner’s work laptop crashed and I had to help them troubleshoot before leaving.
work,medium,medium,My neighbor needed help moving heavy furniture and I was the only one available.
work,medium,medium,My friend’s car broke down and I had to give them a ride to work.
work,medium,medium,My child forgot their lunch and I had to drop it off at school.
work,medium,medium,My internet was down and I had to wait for the technician to arrive.
work,medium,medium,I had to wait for a package that required my signature.
work,medium,medium,My roommate spilled coffee on my work clothes and I had to change.
work,medium,medium,My pet got stuck behind the washing machine and I had to rescue it.
work,medium,medium,My neighbor’s car alarm kept going off and I helped them troubleshoot.
work,medium,medium,My friend’s dog ran away and I joined the search in the neighborhood.
work,medium,medium,My sibling needed a ride to a last-minute appointment.
work,medium,medium,My child’s school bus was late and I had to drive them in.
work,medium,medium,My apartment’s smoke alarm malfunctioned and I had to wait for maintenance.
work,medium,medium,My friend’s flight was delayed and I had to pick them up from the airport.
work,medium,medium,My neighbor’s elderly parent needed help with groceries.
work,medium,medium,My pet had a minor injury and I had to take it to the vet for a checkup.
work,medium,medium,My friend’s moving truck broke down and I helped them unload by hand.
work,medium,medium,My child’s backpack was missing and we had to search the house.
work,medium,medium,My roommate lost their keys and I had to let them in before leaving.
work,medium,medium,My neighbor’s plumbing burst and I helped them mop up the mess.
work,medium,medium,My friend’s bike got a flat tire and I gave them a ride.
work,medium,medium,My sibling needed help finishing a school project due today.
work,medium,medium,My child’s field trip permission slip was missing and I had to fill it out.
work,medium,medium,My apartment’s elevator was out of order and I had to help an elderly neighbor.
work,medium,medium,My friend’s pet escaped and I helped look for it in the neighborhood.
work,medium,medium,My neighbor’s fence fell over and I helped them prop it up.
work,medium,medium,My roommate’s car wouldn’t start and I gave them a jump.
work,medium,medium,My pet bird got out of its cage and I had to catch it before leaving.
work,medium,medium,My friend’s child was sick and I watched them for an hour.
work,medium,medium,My sibling’s alarm didn’t go off and I had to wake them up.
work,medium,medium,My child’s toy was stuck in the toilet and I had to fish it out.
work,medium,medium,My neighbor’s power went out and I lent them my generator.
work,medium,medium,My friend’s phone died and I waited for them to charge it before leaving together.
work,medium,medium,My pet rabbit chewed through my charging cable and I had to get a new one.
work,medium,medium,My roommate’s package was delivered to the wrong address and I helped retrieve it.
work,medium,medium,My neighbor’s mailbox was vandalized and I helped them report it.
work,medium,medium,My friend’s car keys were locked inside their car and I waited for a locksmith.
work,medium,medium,My sibling’s bike was stolen and I helped them file a police report.
work,medium,medium,My child’s science project supplies were missing and I had to buy replacements.
work,medium,medium,My apartment’s heating stopped working and I had to wait for repairs.
work,medium,medium,My friend’s dog was sick and I walked it for them.
work,medium,medium,My neighbor’s alarm clock malfunctioned and I helped them get to work on time.
work,medium,medium,My roommate’s computer crashed and I helped them recover their files.
work,medium,medium,My pet fish tank leaked and I had to clean up the water.
work,medium,medium,My friend’s moving company canceled and I helped them carry boxes.
work,medium,medium,My sibling needed help fixing their laptop before a school assignment was due.
work,medium,low,My cat hid my shoes and I spent the morning searching for them.
work,medium,low,I got stuck watching a livestream of my favorite band’s surprise concert.
work,medium,low,My neighbor’s rooster escaped and I helped wrangle it back home.
work,medium,low,I lost track of time while reorganizing my sock drawer.
work,medium,low,I was distracted by a new video game release and lost track of time.
work,medium,low,My goldfish bowl cracked and I had to find a new container before leaving.
work,medium,low,My parrot mimicked my alarm and tricked me into waking up at the wrong time.
work,medium,low,My neighbor’s dog buried my car keys in the backyard and I had to dig them up.
work,medium,low,I was challenged to a thumb wrestling tournament by my roommate and couldn't leave until I won.
work,medium,low,My pet turtle blocked the doorway and refused to move for half an hour.
work,medium,low,My roommate’s hamster escaped and I had to help search the apartment.
work,medium,low,My friend’s new puppy chewed up my work badge and I had to get a replacement.
work,medium,low,I was delayed by a spontaneous pillow fight in the hallway.
work,medium,low,My neighbor’s peacock blocked my driveway and refused to move.
work,medium,low,"My sibling borrowed my bike and forgot to return it, so I had to walk."
work,medium,low,My roommate’s alarm clock malfunctioned and I overslept.
work,medium,low,My pet rabbit got stuck under the bed and I had to coax it out.
work,medium,low,I got caught up watching a sunrise and lost track of time.
work,medium,low,My neighbor’s cat stole my lunch and I had to make a new one.
work,medium,low,My sibling hid my phone as a prank and I had to find it before leaving.
work,medium,low,My roommate’s plant collection fell over and I helped clean up the mess.
work,medium,low,My pet gecko escaped and I had to find it before leaving.
work,medium,low,My friend’s drone landed on my roof and I had to retrieve it.
work,medium,low,My neighbor’s child challenged me to a hopscotch contest and I couldn’t leave until it was over.
work,medium,low,My roommate’s bread dough overflowed the bowl and I helped clean up.
work,medium,low,My pet ferret hid my wallet and I had to search the apartment.
work,medium,low,My sibling’s science experiment exploded and I helped clean up.
work,medium,low,My friend’s skateboard rolled under a parked car and I helped retrieve it.
work,medium,low,My roommate’s alarm went off for an hour and I couldn’t concentrate on getting ready.
work,medium,low,My pet hamster chewed through my phone charger and I had to buy a new one.
work,medium,low,My neighbor’s ducklings blocked my path to the car and I had to herd them to safety.
work,medium,low,My friend’s cat knocked over my coffee and I had to change clothes.
work,medium,low,My sibling’s video game tournament went late and I was up helping them practice.
work,medium,low,My roommate’s karaoke machine malfunctioned and I had to help fix it.
work,medium,low,My pet piglet escaped and I had to chase it through the backyard.
work,medium,low,My neighbor’s dog chewed up my work shoes and I had to find another pair.
work,medium,low,My friend’s parrot escaped and I helped search the neighborhood.
work,medium,low,My roommate’s blender exploded and I helped clean the kitchen.
work,medium,low,My pet snake wrapped around my doorknob and I had to wait for help.
work,medium,low,My sibling’s remote-controlled car got stuck in my shoe and I had to get it out.
work,medium,low,My friend’s alarm clock was set to the wrong time and I missed my ride.
work,medium,low,My roommate’s dog hid my keys in the laundry basket.
work,medium,low,My pet raccoon stole my breakfast and I had to make more food.
work,medium,low,My neighbor’s goat wandered into my yard and I had to guide it home.
work,low,high,My alarm didn’t go off because of a power outage and I overslept.
work,low,high,There was a minor fender bender in my parking lot and I had to exchange information.
work,low,high,My child missed the school bus and I had to drive them in.
work,low,high,My pet needed a last-minute grooming appointment before an event.
work,low,high,I had to pick up a prescription before the pharmacy closed.
work,low,high,My neighbor needed help carrying groceries up the stairs.
work,low,high,My friend’s car was blocked in and I gave them a ride.
work,low,high,My sibling forgot their lunch and I had to drop it off at school.
work,low,high,My pet had a mild stomach ache and I wanted to monitor them for a bit.
work,low,high,My roommate needed help setting up a new computer before work.
work,low,high,My child’s field trip permission slip was missing and I had to fill it out.
work,low,high,My neighbor’s mailbox was knocked over and I helped them fix it.
work,low,high,My friend’s bike chain broke and I helped them repair it.
work,low,high,My sibling’s school project was due and I helped them finish it.
work,low,high,My pet fish tank needed cleaning and I didn’t want to leave it dirty.
work,low,high,My roommate misplaced their keys and I helped them search the apartment.
work,low,high,My neighbor needed a ride to a doctor’s appointment.
work,low,high,My friend’s moving truck arrived late and I helped them unload.
work,low,high,My sibling’s alarm didn’t go off and I had to wake them up.
work,low,high,My child’s favorite toy was missing and I helped them look for it.
work,low,high,My pet bird got out of its cage and I had to catch it before leaving.
work,low,high,My roommate’s car wouldn’t start and I gave them a jump.
work,low,high,My neighbor’s child needed a ride to school and I helped out.
work,low,high,My friend’s phone died and I waited for them to charge it before leaving together.
work,low,high,My sibling needed help printing an assignment before school.
work,low,high,My child’s backpack zipper broke and I fixed it before leaving.
work,low,high,My pet rabbit escaped its pen and I had to catch it in the yard.
work,low,high,My roommate’s package was delivered to the wrong address and I helped retrieve it.
work,low,high,My neighbor’s dog got loose and I helped bring it back home.
work,low,high,My friend’s glasses broke and I helped them tape them up.
work,low,high,My sibling’s bike tire was flat and I helped pump it up.
work,low,high,My child’s shoes were missing and I helped them find a pair.
work,low,high,My pet cat scratched the door and I had to fix it before leaving.
work,low,high,My roommate’s alarm clock was set incorrectly and I helped reset it.
work,low,high,My neighbor’s garden hose burst and I helped clean up the water.
work,low,high,My friend’s umbrella broke and I lent them mine before leaving.
work,low,high,My sibling’s lunchbox was missing and I helped them pack a new one.
work,low,high,My child’s homework was left at home and I had to drop it at school.
work,low,high,My pet hamster escaped and I had to find it before leaving.
work,low,high,My roommate’s phone charger was missing and I helped them find it.
work,low,high,My neighbor’s trash can rolled into the street and I moved it back.
work,low,high,My friend’s jacket was left at my place and I returned it before work.
work,low,high,My sibling needed help tying a tie for a school event.
work,low,high,My child’s lunch spilled and I made a new one before leaving.
work,low,medium,My neighbor asked me to water their plants and I forgot until this morning.
work,low,medium,I had to wait for a grocery delivery that was running late.
work,low,medium,My friend needed a ride to a job interview.
work,low,medium,My child’s science project supplies were missing and I had to buy replacements.
work,low,medium,I had to help my roommate assemble new furniture before leaving.
work,low,medium,My pet spilled their food and I cleaned up the mess before work.
work,low,medium,My sibling borrowed my headphones and I had to track them down.
work,low,medium,My roommate’s alarm clock was set for the wrong time and I helped fix it.
work,low,medium,My neighbor’s kid left their bike in my driveway and I had to move it.
work,low,medium,My friend’s coffee spilled on my work shirt and I had to change.
work,low,medium,My pet bird knocked over a plant and I had to clean up the dirt.
work,low,medium,My sibling needed help with a last-minute homework question.
work,low,medium,My roommate’s shoes were missing and I helped them search.
work,low,medium,My neighbor’s car was double parked and I waited for them to move it.
work,low,medium,My friend’s umbrella broke and I lent them mine before leaving.
work,low,medium,My child’s favorite book was missing and I helped them look for it.
work,low,medium,My pet rabbit chewed through a phone cord and I had to replace it.
work,low,medium,My sibling’s lunch was forgotten at home and I had to drop it at school.
work,low,medium,My roommate’s phone battery died and I waited for them to charge it.
work,low,medium,My neighbor’s mailbox was knocked over and I helped fix it.
work,low,medium,My friend’s keys were missing and I helped them search the house.
work,low,medium,My pet hamster escaped its cage and I had to find it before leaving.
work,low,medium,My sibling needed help packing for a school trip.
work,low,medium,My roommate’s laundry was left in the washer and I helped hang it up.
work,low,medium,My neighbor’s window was stuck and I helped open it.
work,low,medium,My friend’s dog got out and I helped catch it.
work,low,medium,My child’s shoes were muddy and I cleaned them before school.
work,low,medium,My pet cat hid under the bed and I had to coax it out.
work,low,medium,My sibling’s alarm didn’t go off and I had to wake them up.
work,low,medium,My roommate needed help finding their wallet before leaving.
work,low,medium,My neighbor’s garden hose burst and I helped turn off the water.
work,low,medium,My friend’s lunch spilled and I helped them make a new one.
work,low,medium,My pet bird escaped its cage and I had to catch it.
work,low,medium,My sibling’s backpack zipper broke and I fixed it.
work,low,medium,My roommate’s bike tire was flat and I helped pump it up.
work,low,medium,My neighbor’s trash can rolled down the street and I brought it back.
work,low,medium,My friend’s glasses were lost and I helped search.
work,low,medium,My child’s homework was missing and I helped them rewrite it.
work,low,medium,My pet fish tank needed cleaning and I did it before leaving.
work,low,medium,My sibling’s lunchbox was missing and I helped pack a new one.
work,low,medium,My roommate’s package was delivered to the wrong address and I helped retrieve it.
work,low,medium,My neighbor’s dog chewed up my work shoes and I had to find another pair.
work,low,medium,My friend’s skateboard rolled under a parked car and I helped retrieve it.
work,low,medium,My child’s toy was stuck in the toilet and I had to fish it out.
work,low,low,I binge-watched an entire season of a show and lost track of time.
work,low,low,"My horoscope said today was unlucky for travel, so I stayed home longer."
work,low,low,I was waiting for my bread to rise and lost track of time.
work,low,low,My goldfish looked sad and I spent the morning cheering it up.
work,low,low,I was on hold with customer service for hours about a subscription box.
work,low,low,My cat insisted on sitting on my lap and I couldn’t move for an hour.
work,low,low,My neighbor’s rooster crowed all night and I barely slept.
work,low,low,I got caught up watching funny dog videos and lost track of time.
work,low,low,My roommate challenged me to a pancake-flipping contest and I couldn’t leave until I won.
work,low,low,My pet turtle blocked the hallway and refused to let me pass.
work,low,low,My sibling hid my shoes as a prank and I had to find them.
work,low,low,I was distracted by a squirrel outside my window for half an hour.
work,low,low,My friend dared me to build a card house and I lost track of time.
work,low,low,My neighbor’s parrot kept repeating “Don’t go to work!” and I listened.
work,low,low,My pet hamster fell asleep in my shoe and I didn’t want to disturb it.
work,low,low,My roommate’s karaoke session ran late and I was too tired to wake up.
work,low,low,My sibling’s video game tournament went late and I was up helping them practice.
work,low,low,I was trying to beat my high score on a mobile game and lost track of time.
work,low,low,My pet rabbit was hiding and I wanted to find it before leaving.
work,low,low,My friend’s cat knocked over my cereal and I had to clean up.
work,low,low,My neighbor’s dog howled all night and I couldn’t sleep.
work,low,low,My roommate’s bread dough overflowed and I helped clean up.
work,low,low,I was caught up in a group chat and didn’t notice the time.
work,low,low,My sibling’s alarm clock was set to the wrong time and I overslept.
work,low,low,My pet gecko escaped and I had to find it before leaving.
work,low,low,My friend’s skateboard rolled under the couch and I helped retrieve it.
work,low,low,My roommate’s alarm went off for an hour and I couldn’t concentrate on getting ready.
work,low,low,My pet ferret hid my wallet and I had to search the apartment.
work,low,low,My sibling’s science experiment exploded and I helped clean up.
work,low,low,My friend’s drone landed on my roof and I had to retrieve it.
work,low,low,My roommate’s blender exploded and I helped clean the kitchen.
work,low,low,My pet snake wrapped around my doorknob and I had to wait for help.
work,low,low,My sibling’s remote-controlled car got stuck in my shoe and I had to get it out.
work,low,low,My friend’s alarm clock was set to the wrong time and I missed my ride.
work,low,low,My roommate’s dog hid my keys in the laundry basket.
work,low,low,My pet raccoon stole my breakfast and I had to make more food.
work,low,low,My neighbor’s goat wandered into my yard and I had to guide it home.
work,low,low,My sibling challenged me to a staring contest and I lost track of time.
work,low,low,My friend’s parrot escaped and I helped search the neighborhood.
work,low,low,My roommate’s karaoke machine malfunctioned and I had to help fix it.
work,low,low,My pet piglet escaped and I had to chase it through the backyard.
work,low,low,My neighbor’s dog chewed up my work shoes and I had to find another pair.
work,low,low,My friend’s umbrella broke and I lent them mine before leaving.
work,low,low,My sibling’s lunchbox was missing and I helped pack a new one.
school,high,high,I had a sudden asthma attack and my inhaler was empty so I had to stay home.
school,high,high,My school bus was in an accident and I had to wait for another to pick us up.
school,high,high,I woke up with a high fever and my parents took me to the doctor for tests.
school,high,high,There was a lockdown at my school and we were not allowed to leave until it ended.
school,high,high,My little brother had a seizure and I had to stay home to help my parents.
school,high,high,I had a dental emergency and needed to see the dentist urgently.
school,high,high,My glasses broke and I couldn’t see well enough to attend class.
school,high,high,My mother was hospitalized and I had to care for my younger sibling.
school,high,high,There was a water leak in our house and I had to help my parents clean up.
school,high,high,My father was in a minor accident and I had to go to the hospital with him.
school,high,high,My neighborhood was on lockdown due to a police incident.
school,high,high,I had a severe allergic reaction to something I ate for breakfast.
school,high,high,My sister broke her arm and I had to accompany her to the emergency room.
school,high,high,My parent was called in for jury duty and I had to stay home to care for my sibling.
school,high,high,There was a fire alarm in our apartment complex and we were kept outside for hours.
school,high,high,My mother had a sudden migraine and needed help at home.
school,high,high,I had to go for a mandatory vaccination appointment.
school,high,high,My father’s car wouldn’t start and there was no other way to get to school.
school,high,high,There was a chemical spill near our house and we were told to stay indoors.
school,high,high,My sister had a panic attack and I had to stay with her until she calmed down.
school,high,high,My parent was called in for emergency work and I had to watch my younger sibling.
school,high,high,My school had a bomb threat and all students were sent home immediately.
school,high,high,I had a fainting spell and my parents kept me home to recover.
school,high,high,My mother had an anxiety attack and I had to support her.
school,high,high,My father had a diabetic episode and I had to monitor his condition.
school,high,high,Our family car broke down and we had to wait for roadside assistance.
school,high,high,My mother was stuck in traffic and needed me to pick up my sibling.
school,high,high,My grandmother’s caregiver was sick and I had to fill in.
school,high,high,My little brother had a fever and I had to stay home to watch him.
school,high,high,My parent was called to work early and I had to wait for a neighbor to watch my sibling.
school,high,high,My mother had a dental emergency and couldn’t be left alone.
school,high,high,My father fainted and I had to stay with him until he recovered.
school,high,high,My grandmother had a fall and I had to stay with her for observation.
school,high,high,My mother had a panic attack and I had to support her.
school,high,high,My father had a panic attack and I had to calm him down.
school,high,high,My parent was called in for jury duty and I had to stay home to care for my sibling.
